CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,MonetaryRank,Name,Email,Gender,Age,City,MaritalStatus,NumChildren,JoinDate,AgeGroup,CustomerLifetimeDays
CUST10000,13,23,21265.49,4,3,2,432,Potential Loyalist.,604.0,Onkar Bhargava,pkeer@yahoo.com,Male,54,Delhi,Divorced,0,2021-02-22,46-55,1619
CUST10001,35,30,28654.309,3,5,5,355,Potential Loyalist.,160.0,Divit Kohli,mkalita@sarin.com,Female,48,Kolkata,Married,0,2023-12-06,46-55,602
CUST10002,18,24,23884.03,4,3,3,433,Potential Loyalist.,428.0,Kiara Behl,apteanay@hotmail.com,Male,75,Kolkata,Widowed,2,2023-08-23,65+,707
CUST10003,81,25,24206.03,1,4,3,143,Potential Loyalist.,408.0,Vaibhav Sankar,bseshadri@choudhry.info,Male,62,Pune,Divorced,2,2022-11-17,56-65,986
CUST10004,8,19,25565.3,5,1,4,514,Hibernating,324.0,Shray D’Alia,bdhillon@toor-mall.com,Male,55,Delhi,Divorced,0,2022-12-04,46-55,969
CUST10005,24,29,29459.82,4,5,5,455,Loyal Customers,135.0,Fateh Sharaf,qkulkarni@gmail.com,Male,59,Jaipur,Single,3,2021-05-13,56-65,1539
CUST10006,11,28,27922.36,5,5,5,555,Champions,198.0,Khushi Wadhwa,craja@yahoo.com,Female,61,Hyderabad,Widowed,2,2021-11-12,56-65,1356
CUST10007,86,15,14957.061,1,1,1,111,At Risk.,936.0,Zeeshan Salvi,ira51@saini-kumar.com,Not Disclosed,32,Pune,Widowed,1,2021-08-10,26-35,1450
CUST10008,3,19,19479.25,5,1,2,512,Hibernating,715.0,Elakshi Trivedi,ayesha07@gmail.com,Female,32,Hyderabad,Widowed,4,2023-11-20,26-35,618
CUST10009,7,25,22832.83,5,4,3,543,Loyal Customers,508.0,Neelofar Chada,abramsolanki@madan.com,Male,44,Jaipur,Single,0,2021-11-20,36-45,1348
CUST10010,14,20,20932.93,4,2,2,422,Potential Loyalist.,629.0,Kashvi Goda,nirvi89@hotmail.com,Not Disclosed,73,Ahmedabad,Single,2,2022-04-18,65+,1199
CUST10011,17,22,23159.47,4,2,3,423,Potential Loyalist.,489.0,Vardaniya Varty,aaryahibala@virk-gopal.org,Not Disclosed,63,Jaipur,Widowed,1,2020-08-06,56-65,1819
CUST10012,59,28,26626.07,2,5,4,254,Potential Loyalist.,259.0,Dishani Jhaveri,zeeshan50@hotmail.com,Not Disclosed,30,Ahmedabad,Divorced,1,2022-12-07,26-35,966
CUST10013,13,19,14536.66,4,1,1,411,Potential Loyalist.,945.0,Amira Rama,myrachakrabarti@master.com,Female,72,Jaipur,Widowed,1,2022-11-15,65+,988
CUST10014,32,21,23325.0,3,2,3,323,Potential Loyalist.,474.0,Arhaan Trivedi,vigadvik@amble-shroff.com,Male,48,Hyderabad,Widowed,1,2023-12-21,46-55,587
CUST10015,6,20,26315.71,5,2,4,524,Hibernating,280.0,Faiyaz Sur,riaan12@datta.com,Male,41,Jaipur,Divorced,0,2021-08-20,36-45,1440
CUST10016,4,24,24607.24,5,3,4,534,Hibernating,389.0,Neelofar Sawhney,usarna@yahoo.com,Not Disclosed,50,Delhi,Married,1,2023-05-15,46-55,807
CUST10017,42,25,21241.48,3,4,2,342,Potential Loyalist.,607.0,Anay Dugal,aaina34@gmail.com,Female,41,Pune,Single,1,2022-08-03,36-45,1092
CUST10018,72,19,20383.92,2,1,2,212,At Risk.,653.0,Mahika Kalita,advikissac@badami.com,Female,63,Lucknow,Widowed,2,2021-08-26,56-65,1434
CUST10019,155,25,24529.64,1,4,4,144,Potential Loyalist.,393.0,Inaaya  Thaman,hchoudhury@aurora.org,Male,50,Hyderabad,Single,2,2022-06-21,46-55,1135
CUST10020,4,22,19111.42,5,2,2,522,Hibernating,741.0,Nirvi Raval,shanrohan@gmail.com,Not Disclosed,73,Jaipur,Married,1,2023-12-29,65+,579
CUST10021,19,20,18806.9,4,2,2,422,Potential Loyalist.,757.0,Ryan Banik,rohan26@date.net,Female,72,Lucknow,Divorced,1,2021-06-23,65+,1498
CUST10022,60,15,21368.65,2,1,3,213,At Risk.,598.0,Kiara Tank,xchada@rastogi.biz,Female,60,Jaipur,Single,1,2024-04-24,56-65,462
CUST10023,79,27,30622.22,1,4,5,145,Potential Loyalist.,91.0,Divyansh Chauhan,bhaminiben@hotmail.com,Not Disclosed,50,Bangalore,Married,1,2021-06-05,46-55,1516
CUST10024,8,24,25362.43,5,3,4,534,Hibernating,333.0,Dishani Krish,manjari64@brar.com,Male,48,Chennai,Married,3,2022-03-26,46-55,1222
CUST10025,4,19,14074.55,5,1,1,511,Hibernating,958.0,Shayak Kala,pari16@gera.net,Female,49,Chennai,Widowed,1,2024-01-10,46-55,567
CUST10026,69,25,23621.41,2,4,3,243,Potential Loyalist.,448.0,Chirag Seshadri,bhavsarjayan@luthra.com,Not Disclosed,52,Lucknow,Divorced,1,2022-08-20,46-55,1075
CUST10027,30,20,22327.31,3,2,3,323,Potential Loyalist.,541.0,Kismat Kulkarni,shayak51@yahoo.com,Male,69,Hyderabad,Married,1,2023-10-21,65+,648
CUST10028,11,18,18921.46,5,1,2,512,Hibernating,753.0,Himmat Mann,arnav61@verma-subramaniam.com,Male,73,Delhi,Divorced,0,2021-07-29,65+,1462
CUST10029,41,24,27318.86,3,3,4,334,Potential Loyalist.,220.0,Shlok Bhandari,mangalira@gmail.com,Not Disclosed,22,Delhi,Single,1,2024-02-06,18-25,540
